date_日期,price_价格,title_名称,itemurl_商品链接,qushi_趋势,changPriceRemark_趋势变动
2021-10-20,8999.0,联想笔记本电脑 拯救者R9000P 16英寸高性能电竞游戏本(标压 8核 R7-5800H 16G 512G RTX3060 2.5k屏 165Hz),http://item.jd.com/100014794825.html,先涨后跌,降幅4%
2021-10-20,8999.0,联想笔记本电脑 拯救者R9000P 16英寸高性能电竞游戏本(标压 8核 R7-5800H 16G 512G RTX3060 2.5k屏 165Hz),http://item.jd.com/100014794825.html,先涨后跌,降幅4%
2021-10-21,8499.0,联想笔记本电脑 拯救者R9000P 16英寸高性能电竞游戏本(标压 8核 R7-5800H 16G 512G RTX3060 2.5k屏 165Hz),http://item.jd.com/100014794825.html,先涨后跌,降幅4%
2021-10-21,8499.0,联想笔记本电脑 拯救者R9000P 16英寸高性能电竞游戏本(标压 8核 R7-5800H 16G 512G RTX3060 2.5k屏 165Hz),http://item.jd.com/100014794825.html,先涨后跌,降幅4%
2021-10-22,8499.0,联想笔记本电脑 拯救者R9000P 16英寸高性能电竞游戏本(标压 8核 R7-5800H 16G 512G RTX3060 2.5k屏 165Hz),http://item.jd.com/100014794825.html,先涨后跌,降幅4%
2021-10-22,8499.0,联想笔记本电脑 拯救者R9000P 16英寸高性能电竞游戏本(标压 8核 R7-5800H 16G 512G RTX3060 2.5k屏 165Hz),http://item.jd.com/100014794825.html,先涨后跌,降幅4%
2021-10-23,8499.0,联想笔记本电脑 拯救者R9000P 16英寸高性能电竞游戏本(标压 8核 R7-5800H 16G 512G RTX3060 2.5k屏 165Hz),http://item.jd.com/100014794825.html,先涨后跌,降幅4%
2021-10-23,8499.0,联想笔记本电脑 拯救者R9000P 16英寸高性能电竞游戏本(标压 8核 R7-5800H 16G 512G RTX3060 2.5k屏 165Hz),http://item.jd.com/100014794825.html,先涨后跌,降幅4%
2021-10-24,8999.0,联想笔记本电脑 拯救者R9000P 16英寸高性能电竞游戏本(标压 8核 R7-5800H 16G 512G RTX3060 2.5k屏 165Hz),http://item.jd.com/100014794825.html,先涨后跌,降幅4%
2021-10-24,8999.0,联想笔记本电脑 拯救者R9000P 16英寸高性能电竞游戏本(标压 8核 R7-5800H 16G 512G RTX3060 2.5k屏 165Hz),http://item.jd.com/100014794825.html,先涨后跌,降幅4%
2021-10-25,8499.0,联想笔记本电脑 拯救者R9000P 16英寸高性能电竞游戏本(标压 8核 R7-5800H 16G 512G RTX3060 2.5k屏 165Hz),http://item.jd.com/100014794825.html,先涨后跌,降幅4%
