date_日期,price_价格,title_名称,itemurl_商品链接,qushi_趋势,changPriceRemark_趋势变动
2021-05-11,9999.0,京品电脑机械革命钛钽PLUS 17.3英寸165Hz电竞游戏笔记本电脑(11代英特尔酷睿i7-11800H 16G 512G RTX3060 2.5K),http://item.jd.com/100021647694.html,上涨,降幅10%
2021-05-11,9999.0,京品电脑机械革命钛钽PLUS 17.3英寸165Hz电竞游戏笔记本电脑(11代英特尔酷睿i7-11800H 16G 512G RTX3060 2.5K),http://item.jd.com/100021647694.html,上涨,降幅10%
2021-05-12,9999.0,京品电脑机械革命钛钽PLUS 17.3英寸165Hz电竞游戏笔记本电脑(11代英特尔酷睿i7-11800H 16G 512G RTX3060 2.5K),http://item.jd.com/100021647694.html,上涨,降幅10%
2021-05-12,9999.0,京品电脑机械革命钛钽PLUS 17.3英寸165Hz电竞游戏笔记本电脑(11代英特尔酷睿i7-11800H 16G 512G RTX3060 2.5K),http://item.jd.com/100021647694.html,上涨,降幅10%
2021-05-13,9999.0,京品电脑机械革命钛钽PLUS 17.3英寸165Hz电竞游戏笔记本电脑(11代英特尔酷睿i7-11800H 16G 512G RTX3060 2.5K),http://item.jd.com/100021647694.html,上涨,降幅10%
2021-05-13,9999.0,京品电脑机械革命钛钽PLUS 17.3英寸165Hz电竞游戏笔记本电脑(11代英特尔酷睿i7-11800H 16G 512G RTX3060 2.5K),http://item.jd.com/100021647694.html,上涨,降幅10%
2021-05-14,9999.0,京品电脑机械革命钛钽PLUS 17.3英寸165Hz电竞游戏笔记本电脑(11代英特尔酷睿i7-11800H 16G 512G RTX3060 2.5K),http://item.jd.com/100021647694.html,上涨,降幅10%
2021-05-14,9999.0,京品电脑机械革命钛钽PLUS 17.3英寸165Hz电竞游戏笔记本电脑(11代英特尔酷睿i7-11800H 16G 512G RTX3060 2.5K),http://item.jd.com/100021647694.html,上涨,降幅10%
2021-05-15,9999.0,京品电脑机械革命钛钽PLUS 17.3英寸165Hz电竞游戏笔记本电脑(11代英特尔酷睿i7-11800H 16G 512G RTX3060 2.5K),http://item.jd.com/100021647694.html,上涨,降幅10%
2021-05-15,9999.0,京品电脑机械革命钛钽PLUS 17.3英寸165Hz电竞游戏笔记本电脑(11代英特尔酷睿i7-11800H 16G 512G RTX3060 2.5K),http://item.jd.com/100021647694.html,上涨,降幅10%
2021-05-16,9999.0,京品电脑机械革命钛钽PLUS 17.3英寸165Hz电竞游戏笔记本电脑(11代英特尔酷睿i7-11800H 16G 512G RTX3060 2.5K),http://item.jd.com/100021647694.html,上涨,降幅10%
2021-05-16,9999.0,京品电脑机械革命钛钽PLUS 17.3英寸165Hz电竞游戏笔记本电脑(11代英特尔酷睿i7-11800H 16G 512G RTX3060 2.5K),http://item.jd.com/100021647694.html,上涨,降幅10%
2021-05-17,9999.0,京品电脑机械革命钛钽PLUS 17.3英寸165Hz电竞游戏笔记本电脑(11代英特尔酷睿i7-11800H 16G 512G RTX3060 2.5K),http://item.jd.com/100021647694.html,上涨,降幅10%
2021-05-17,9999.0,京品电脑机械革命钛钽PLUS 17.3英寸165Hz电竞游戏笔记本电脑(11代英特尔酷睿i7-11800H 16G 512G RTX3060 2.5K),http://item.jd.com/100021647694.html,上涨,降幅10%
2021-05-18,9999.0,京品电脑机械革命钛钽PLUS 17.3英寸165Hz电竞游戏笔记本电脑(11代英特尔酷睿i7-11800H 16G 512G RTX3060 2.5K),http://item.jd.com/100021647694.html,上涨,降幅10%
2021-05-18,9999.0,京品电脑机械革命钛钽PLUS 17.3英寸165Hz电竞游戏笔记本电脑(11代英特尔酷睿i7-11800H 16G 512G RTX3060 2.5K),http://item.jd.com/100021647694.html,上涨,降幅10%
2021-05-19,9999.0,京品电脑机械革命钛钽PLUS 17.3英寸165Hz电竞游戏笔记本电脑(11代英特尔酷睿i7-11800H 16G 512G RTX3060 2.5K),http://item.jd.com/100021647694.html,上涨,降幅10%
2021-05-20,9999.0,京品电脑机械革命钛钽PLUS 17.3英寸165Hz电竞游戏笔记本电脑(11代英特尔酷睿i7-11800H 16G 512G RTX3060 2.5K),http://item.jd.com/100021647694.html,上涨,降幅10%
2021-05-21,9999.0,京品电脑机械革命钛钽PLUS 17.3英寸165Hz电竞游戏笔记本电脑(11代英特尔酷睿i7-11800H 16G 512G RTX3060 2.5K),http://item.jd.com/100021647694.html,上涨,降幅10%
2021-05-21,9999.0,京品电脑机械革命钛钽PLUS 17.3英寸165Hz电竞游戏笔记本电脑(11代英特尔酷睿i7-11800H 16G 512G RTX3060 2.5K),http://item.jd.com/100021647694.html,上涨,降幅10%
2021-05-22,9999.0,京品电脑机械革命钛钽PLUS 17.3英寸165Hz电竞游戏笔记本电脑(11代英特尔酷睿i7-11800H 16G 512G RTX3060 2.5K),http://item.jd.com/100021647694.html,上涨,降幅10%
2021-05-22,9999.0,京品电脑机械革命钛钽PLUS 17.3英寸165Hz电竞游戏笔记本电脑(11代英特尔酷睿i7-11800H 16G 512G RTX3060 2.5K),http://item.jd.com/100021647694.html,上涨,降幅10%
